action,proto,source,src_port,direction,destination,dst_port,msg,options,options_signature
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,67,"""SERVER-OTHER bootp hardware address length overflow""","['flow', 'content', 'byte_test']","[('flow', ['to_server']), ('content', ['""|01|""', 'depth 1']), ('byte_test', ['1', '>', '6', '2'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,67,"""SERVER-OTHER bootp invalid hardware type""","['flow', 'content', 'byte_test']","[('flow', ['to_server']), ('content', ['""|01|""', 'depth 1']), ('byte_test', ['1', '>', '7', '1'])]"
alert,udp,any,any,unidirectional,any,69,"""PROTOCOL-TFTP GET filename overflow attempt""","['flow', 'content', 'isdataat', 'content', 'service']","[('flow', ['to_server']), ('content', ['""|00 01|""', 'depth 2']), ('isdataat', ['100', 'relative']), ('content', ['!""|00|""', 'within 100']), ('service', ['tftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP RMDIR overflow attempt""","['flow', 'content', 'isdataat', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""RMDIR""', 'nocase']), ('isdataat', ['100', 'relative']), ('pcre', ['""/^RMDIR(?!\\n)\\s[^\\n]{100}/smi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP /Carello/add.exe access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/Carello/add.exe""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP /ecscripts/ecware.exe access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/ecscripts/ecware.exe""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,8888,"""SERVER-WEBAPP answerbook2 admin attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""/cgi-bin/admin/admin""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,8888,"""SERVER-WEBAPP answerbook2 arbitrary command execution attempt""","['flow', 'content', 'content']","[('flow', ['to_server', 'established']), ('content', ['""/ab2/""']), ('content', ['""|3B|""', 'distance 1'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""PROTOCOL-DNS dns zone transfer via UDP detected""","['flow', 'content', 'byte_test', 'content', 'isdataat', 'service']","[('flow', ['to_server']), ('content', ['""|00 01 00 00 00 00 00|""', 'depth 8', 'offset 4']), ('byte_test', ['1', '!&', '0xF8', '2']), ('content', ['""|00 00 FC 00 01|""', 'fast_pattern']), ('isdataat', ['!1', 'relative']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap SET attempt TCP 111""","['flow', 'content', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 01|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8']), ('service', ['sunrpc'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap SET attempt UDP 111""","['flow', 'content', 'content', 'content', 'service']","[('flow', ['to_server']), ('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 01|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4']), ('service', ['sunrpc'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC mountd TCP mount request""","['flow', 'content', 'content', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 86 A5|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 01|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC mountd UDP mount request""","['flow', 'content', 'content', 'content']","[('flow', ['to_server']), ('content', ['""|00 01 86 A5|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 01|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,500:,"""PROTOCOL-RPC AMD TCP pid request""","['flow', 'content', 'content', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|00 04 93 F3|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 09|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,500:,"""PROTOCOL-RPC AMD UDP pid request""","['flow', 'content', 'content', 'content']","[('flow', ['to_server']), ('content', ['""|00 04 93 F3|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 09|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,500:,"""PROTOCOL-RPC AMD TCP version request""","['flow', 'content', 'content', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|00 04 93 F3|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 08|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,500:,"""PROTOCOL-RPC AMD UDP version request""","['flow', 'content', 'content', 'content']","[('flow', ['to_server']), ('content', ['""|00 04 93 F3|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 08|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC sadmind UDP PING""","['content', 'content', 'content']","[('content', ['""|00 01 87 88|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 00|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC sadmind TCP PING""","['flow', 'content', 'content', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 87 88|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 00|""', 'within 4', 'distance 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap NFS request UDP""","['content', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 03|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""|00 01 86 A3|""', 'within 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4']), ('service', ['sunrpc'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap NFS request TCP""","['flow', 'content', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 03|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""|00 01 86 A3|""', 'within 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8']), ('service', ['sunrpc'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap RQUOTA request UDP""","['content', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 03|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""|00 01 86 AB|""', 'within 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4']), ('service', ['sunrpc'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap RQUOTA request TCP""","['flow', 'content', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 03|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""|00 01 86 AB|""', 'within 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8']), ('service', ['sunrpc'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC RQUOTA getquota overflow attempt UDP""","['content', 'content', 'byte_jump', 'byte_jump', 'byte_test', 'content']","[('content', ['""|00 01 86 AB|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 01|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_test', ['4', '>', '128', '0', 'relative']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC tooltalk UDP overflow attempt""","['flow', 'content', 'content', 'byte_jump', 'byte_jump', 'byte_test', 'content']","[('flow', ['to_server']), ('content', ['""|00 01 86 F3|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 07|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_test', ['4', '>', '128', '0', 'relative']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-RPC tooltalk TCP overflow attempt""","['flow', 'content', 'content', 'byte_jump', 'byte_jump', 'byte_test', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 86 F3|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 07|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_test', ['4', '>', '128', '0', 'relative']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,255.255.255.255,27155,"""SERVER-OTHER GlobalSunTech Access Point Information Disclosure attempt""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""gstsearch""', 'fast_pattern', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP phpbb quick-reply.php arbitrary command attempt""","['flow', 'http_uri', 'content', 'pkt_data', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/quick-reply.php""']), ('pkt_data', ''), ('content', ['""phpbb_root_path=""']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP phpbb quick-reply.php access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/quick-reply.php""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP ion-p access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/ion-p""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-IIS MDAC Content-Type overflow attempt""","['flow', 'http_uri', 'content', 'pkt_data', 'content', 'isdataat', 'content', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/msadcs.dll""', 'nocase']), ('pkt_data', ''), ('content', ['""Content-Type|3A|""', 'nocase']), ('isdataat', ['50', 'relative']), ('content', ['!""|0A|""', 'within 50']), ('pcre', ['""/^POST\\s/smi""']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP SITE EXEC format string attempt""","['flow', 'content', 'content', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""SITE""', 'nocase']), ('content', ['""EXEC""', 'distance 0', 'nocase']), ('pcre', ['""/^SITE\\s+EXEC\\s[^\\n]*?%[^\\n]*?%/smi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP PASS overflow attempt""","['flow', 'content', 'isdataat', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""PASS""', 'nocase']), ('isdataat', ['100', 'relative']), ('pcre', ['""/^PASS(?!\\n)\\s[^\\n]{100}/smi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP MKD overflow attempt""","['flow', 'content', 'isdataat', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""MKD""', 'nocase']), ('isdataat', ['150', 'relative']), ('pcre', ['""/^MKD(?!\\n)\\s[^\\n]{150}/smi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP REST overflow attempt""","['flow', 'content', 'isdataat', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""REST""', 'nocase']), ('isdataat', ['100', 'relative']), ('pcre', ['""/^REST(?!\\n)\\s[^\\n]{100}/smi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP DELE overflow attempt""","['flow', 'content', 'isdataat', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""DELE""', 'nocase']), ('isdataat', ['100', 'relative']), ('pcre', ['""/^DELE(?!\\n)\\s[^\\n]{100}/mi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP RMD overflow attempt""","['flow', 'content', 'isdataat', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""RMD""', 'nocase']), ('isdataat', ['100', 'relative']), ('pcre', ['""/^RMD(?!\\n)\\s[^\\n]{100}/smi""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP xp_regwrite attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""xp_regwrite""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP xp_regdeletekey attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""xp_regdeletekey""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,$HTTP_PORTS,"""SERVER-WEBAPP perl post attempt""","['flow', 'content', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""POST""', 'depth 4']), ('http_uri', ''), ('content', ['""/perl/""']), ('service', ['http'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,2140,"""MALWARE-BACKDOOR DeepThroat 3.1 Connection""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""00""', 'depth 2'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,3150,"""MALWARE-BACKDOOR DeepThroat 3.1 Connection attempt on port 3150""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""00""', 'depth 2'])]"
alert,udp,$HOME_NET,3150,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR DeepThroat 3.1 Server Response on port 3150""","['flow', 'content']","[('flow', ['to_client']), ('content', ['""Ahhhh My Mouth Is Open""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,4120,"""MALWARE-BACKDOOR DeepThroat 3.1 Connection attempt on port 4120""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""00""', 'depth 2'])]"
alert,udp,$HOME_NET,4120,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR DeepThroat 3.1 Server Response on port 4120""","['flow', 'content']","[('flow', ['to_client']), ('content', ['""Ahhhh My Mouth Is Open""'])]"
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR Doly variant outbound connection attempt""","['flow', 'content', 'service']","[('flow', ['to_client', 'established']), ('content', ['""* Doly trojan v1.5 - Connected.""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,1863,"""POLICY-SOCIAL Microsoft MSN outbound file transfer request""","['flow', 'content', 'content', 'content']","[('flow', ['established']), ('content', ['""MSG ""', 'depth 4']), ('content', ['""Content-Type|3A| application/x-msnmsgrp2p""', 'nocase']), ('content', ['""INVITE""', 'distance 0', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,7100,"""SERVER-OTHER xfs overflow attempt""","['flow', 'isdataat', 'content']","[('flow', ['to_server', 'established']), ('isdataat', ['512']), ('content', ['""B|00 02|""', 'depth 3'])]"
alert,tcp,$EXTERNAL_NET,1863,unidirectional,$HOME_NET,any,"""POLICY-SOCIAL Microsoft MSN outbound file transfer accept""","['flow', 'content', 'content', 'content']","[('flow', ['established']), ('content', ['""MSG ""', 'depth 4']), ('content', ['""Content-Type|3A| application/x-msnmsgrp2p""', 'distance 0', 'nocase']), ('content', ['""MSNSLP/1.0 200 OK""', 'distance 0', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,1863,unidirectional,$HOME_NET,any,"""POLICY-SOCIAL Microsoft MSN outbound file transfer rejected""","['flow', 'content', 'content', 'content']","[('flow', ['established']), ('content', ['""MSG ""', 'depth 4']), ('content', ['""Content-Type|3A| application/x-msnmsgrp2p""', 'distance 0', 'nocase']), ('content', ['""MSNSLP/1.0 603 Decline""', 'distance 0', 'nocase'])]"
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,1863,"""POLICY-SOCIAL Microsoft MSN user search""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""CAL ""', 'depth 4', 'nocase'])]"
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,1863,"""POLICY-SOCIAL Microsoft MSN login attempt""","['flow', 'content', 'content']","[('flow', ['to_server', 'established']), ('content', ['""USR ""', 'depth 4', 'nocase']), ('content', ['"" TWN ""', 'distance 1', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP LIST directory traversal attempt""","['flow', 'content', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""LIST""', 'nocase']), ('content', ['""..""', 'distance 1']), ('content', ['""..""', 'distance 1']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,143,"""PROTOCOL-IMAP login literal buffer overflow attempt""","['flow', 'pcre', 'content', 'service']","[('flow', ['established', 'to_server']), ('pcre', ['""/\\sLOGIN\\s[^\\n]*?\\{\\s*(-|[3-9][0-9]{2}|2[6-9][0-9]|25[7-9]|[0-9]{4})/smi""']), ('content', ['""LOGIN""', 'fast_pattern', 'nocase']), ('service', ['imap'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP vpasswd.cgi access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/vpasswd.cgi""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP alya.cgi access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/alya.cgi""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP viralator.cgi access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/viralator.cgi""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP read_body.php access attempt""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/read_body.php""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP calendar.php access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/calendar.php""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP edit_image.php access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/edit_image.php""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP readmsg.php access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/readmsg.php""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP smartsearch.cgi access""","['flow', 'http_uri', 'content', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['""/smartsearch.cgi""', 'fast_pattern', 'nocase']), ('service', ['http'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HTTP_SERVERS,$HTTP_PORTS,"""SERVER-WEBAPP remote include path attempt""","['flow', 'http_uri', 'content', 'content', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('http_uri', ''), ('content', ['"".php""', 'nocase']), ('content', ['""path=""', 'fast_pattern', 'nocase']), ('pcre', ['""/path=(https?|ftps?|php)/i""']), ('service', ['http'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,1434,"""SQL Worm propagation attempt""","['flow', 'content', 'content', 'content', 'content']","[('flow', ['to_server']), ('content', ['""|04|""', 'depth 1']), ('content', ['""|81 F1 03 01 04 9B 81 F1 01|""', 'fast_pattern', 'nocase']), ('content', ['""sock""']), ('content', ['""send""'])]"
alert,udp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,1434,"""SQL Worm propagation attempt OUTBOUND""","['flow', 'content', 'content', 'content', 'content']","[('flow', ['to_server']), ('content', ['""|04|""', 'depth 1']), ('content', ['""|81 F1 03 01 04 9B 81 F1|""', 'fast_pattern', 'nocase']), ('content', ['""sock""']), ('content', ['""send""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap kcms_server request UDP""","['flow', 'content', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('flow', ['to_server']), ('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 12']), ('content', ['""|00 00 00 03|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""|00 01 87|}""', 'within 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 4']), ('service', ['sunrpc'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,111,"""PROTOCOL-RPC portmap kcms_server request TCP""","['flow', 'content', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 86 A0|""', 'depth 4', 'offset 16']), ('content', ['""|00 00 00 03|""', 'within 4', 'distance 4']), ('byte_jump', ['4', '4', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""|00 01 87|}""', 'within 4']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8']), ('service', ['sunrpc'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,32771:34000,"""PROTOCOL-RPC kcms_server directory traversal attempt""","['flow', 'content', 'byte_jump', 'byte_jump', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 87|}""', 'depth 4', 'offset 16']), ('byte_jump', ['4', '20', 'relative', 'align']), ('byte_jump', ['4', '4', 'relative', 'align']), ('content', ['""/../""', 'distance 0']), ('content', ['""|00 00 00 00|""', 'depth 4', 'offset 8']), ('service', ['sunrpc'])]"
alert,tcp,$HOME_NET,2401,unidirectional,$EXTERNAL_NET,any,"""INDICATOR-COMPROMISE CVS invalid user authentication response""","['flow', 'content', 'content']","[('flow', ['to_client', 'established']), ('content', ['""E Fatal error', ' aborting.""', 'fast_pattern', 'nocase']), ('content', ['""|3A| no such user""'])]"
alert,tcp,$HOME_NET,2401,unidirectional,$EXTERNAL_NET,any,"""INDICATOR-COMPROMISE CVS invalid repository response""","['flow', 'content', 'content', 'content']","[('flow', ['to_client', 'established']), ('content', ['""error ""']), ('content', ['""|3A| no such repository""']), ('content', ['""I HATE YOU""', 'fast_pattern', 'nocase'])]"
alert,tcp,$HOME_NET,2401,unidirectional,$EXTERNAL_NET,any,"""INDICATOR-COMPROMISE CVS double free exploit attempt response""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""free|28 29 3A| warning|3A| chunk is already free""', 'fast_pattern', 'nocase'])]"
alert,tcp,$HOME_NET,2401,unidirectional,$EXTERNAL_NET,any,"""INDICATOR-COMPROMISE CVS invalid directory response""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""E protocol error|3A| invalid directory syntax in""', 'fast_pattern', 'nocase'])]"
alert,tcp,$HOME_NET,2401,unidirectional,$EXTERNAL_NET,any,"""INDICATOR-COMPROMISE CVS missing cvsroot response""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""E protocol error|3A| Root request missing""', 'fast_pattern', 'nocase'])]"
alert,tcp,$HOME_NET,2401,unidirectional,$EXTERNAL_NET,any,"""INDICATOR-COMPROMISE CVS invalid module response""","['flow', 'content', 'content']","[('flow', ['to_client', 'established']), ('content', ['""cvs server|3A| cannot find module""', 'fast_pattern', 'nocase']), ('content', ['""error""'])]"
